Name,Treatment,Weight (g)
T0AC,10A,15.3
T0AC,10B,15.54
T0AC,10C,19.16
T0AC,10D,13.16
T0AC,10E,9.36
T0AC,11A,20.96
T0AC,11B,5.95
T0AC,11C,16.01
T0AC,11D,7.48
T0AC,11E,26.14
T0AC,12A,12.85
T0AC,12B,12.89
T0AC,12C,23.81
T0AC,12D,21.58
T0AC,12E,18.55
T0AC,13A,5.86
T0AC,13B,6.41
T0AC,13C,7.21
T0AC,13D,13.39
T0AC,13E,10.26
T0AC,14A,14.49
T0AC,14B,21.43
T0AC,14C,7.47
T0AC,14D,10.59
T0AC,14E,11.67
T0AC,15A,19.21
T0AC,15B,9
T0AC,15C,7.01
T0AC,15D,6.79
T0AC,15E,12.02
T0AC,16A,7.66
T0AC,16B,9.15
T0AC,16C,8.82
T0AC,16D,9.99
T0AC,16E,11.98
T0AC,17A,4.13
T0AC,17B,7.27
T0AC,17C,12.7
T0AC,17D,6.94
T0AC,17E,9.74
T0AC,18A,13.85
T0AC,18B,8.65
T0AC,18C,7.33
T0AC,18D,5.22
T0AC,18E,8.26
T0AC,19A,7.83
T0AC,19B,5.59
T0AC,19C,6.28
T0AC,19D,2.96
T0AC,19E,12.54
T0AC,1A,4.59
T0AC,1B,17.47
T0AC,1C,8.39
T0AC,1D,4.85
T0AC,1E,1.92
T0AC,20A,18.45
T0AC,20B,15.17
T0AC,20C,8.95
T0AC,20D,13.66
T0AC,20E,13.11
T0AC,2A,3.75
T0AC,2B,10.02
T0AC,2C,7.35
T0AC,2D,4.88
T0AC,2E,8.68
T0AC,3A,10.07
T0AC,3B,5.27
T0AC,3C,5.48
T0AC,3D,8
T0AC,3E,6.76
T0AC,4A,7.2
T0AC,4B,15.64
T0AC,4C,6.33
T0AC,4D,16.14
T0AC,4E,16.94
T0AC,5A,9.56
T0AC,5B,15.03
T0AC,5C,1.42
T0AC,5D,14.39
T0AC,5E,4.78
T0AC,5E,4.47
T0AC,6A,11.18
T0AC,6B,9.4
T0AC,6C,4.71
T0AC,6D,13.88
T0AC,6E,3.57
T0AC,7A,17.73
T0AC,7B,9.51
T0AC,7C,23.91
T0AC,7D,17.07
T0AC,7E,14.64
T0AC,8A,3.44
T0AC,8B,8.47
T0AC,8C,10.76
T0AC,8D,10.26
T0AC,8E,9.04
T0AC,9A,8.6
T0AC,9B,16.11
T0AC,9C,14.89
T0AC,9D,8.02
T0AC,9E,29.24
T0EC,10A,3.6
T0EC,10B,12.71
T0EC,10C,24.5
T0EC,10D,12.52
T0EC,10E,5.42
T0EC,11A,18.41
T0EC,11B,11.86
T0EC,11C,11.2
T0EC,11D,14.72
T0EC,11E,12.37
T0EC,12A,18.1
T0EC,12B,11.61
T0EC,12C,14.57
T0EC,12D,18.62
T0EC,12E,19.41
T0EC,13A,13.94
T0EC,13B,12.8
T0EC,13C,16.21
T0EC,13D,26.77
T0EC,13E,24.85
T0EC,14A,10.57
T0EC,14B,16.71
T0EC,14C,13.62
T0EC,14D,9.86
T0EC,14E,17.24
T0EC,15A,12.21
T0EC,15B,3.92
T0EC,15C,4.71
T0EC,15D,7.34
T0EC,15E,15.47
T0EC,16A,8.93
T0EC,16B,10.69
T0EC,16C,9.91
T0EC,16D,9.19
T0EC,16E,6.9
T0EC,17A,6.31
T0EC,17B,8.02
T0EC,17C,11.18
T0EC,17D,7.38
T0EC,18A,4.3
T0EC,18B,9.9
T0EC,18C,11.46
T0EC,18D,10.85
T0EC,18E,12.1
T0EC,19A,5.65
T0EC,19B,5.48
T0EC,19C,4.46
T0EC,19D,4.11
T0EC,19E,5.82
T0EC,1A,9.09
T0EC,1B,5.11
T0EC,1C,7.31
T0EC,1D,3.53
T0EC,1E,6.58
T0EC,20A,10.05
T0EC,20B,17.2
T0EC,20C,3.5
T0EC,20D,6.25
T0EC,20E,7.35
T0EC,2A,6.81
T0EC,2B,5.77
T0EC,2C,6.31
T0EC,2D,6.23
T0EC,2E,6.05
T0EC,3A,3.04
T0EC,3B,4.24
T0EC,3C,6.85
T0EC,3D,10.19
T0EC,3E,4.5
T0EC,4A,15.26
T0EC,4B,14.64
T0EC,4C,18.32
T0EC,4D,20.76
T0EC,4E,13.45
T0EC,5A,13.39
T0EC,5B,13.17
T0EC,5C,12.44
T0EC,5D,15.18
T0EC,5E,10.8
T0EC,6A,11.08
T0EC,6B,6.03
T0EC,6C,8.51
T0EC,6D,18.04
T0EC,6E,15.56
T0EC,7A,20.47
T0EC,7B,18.2
T0EC,7C,9.7
T0EC,7D,16.47
T0EC,7E,22.93
T0EC,8A,6.08
T0EC,8B,5.43
T0EC,8C,8.67
T0EC,8D,7.88
T0EC,8E,11.38
T0EC,9A,17.83
T0EC,9B,12.52
T0EC,9C,10.36
T0EC,9D,15.75
T0EC,9E,3.93
T4AC,10A,15.02
T4AC,10B,16.76
T4AC,10C,10.84
T4AC,10D,13.35
T4AC,10E,6.77
T4AC,11A,13.35
T4AC,11B,12.45
T4AC,11C,9.06
T4AC,11D,9.12
T4AC,11E,12.8
T4AC,12A,12.07
T4AC,12B,4.64
T4AC,12C,7.52
T4AC,12D,8.96
T4AC,12E,7.35
T4AC,13A,9.2
T4AC,13B,7.93
T4AC,13C,7.1
T4AC,13D,7.39
T4AC,13E,6.95
T4AC,14A,2.22
T4AC,14B,2.21
T4AC,14C,5.7
T4AC,14E,5.31
T4AC,15A,3.42
T4AC,15C,0.73
T4AC,15D,1.07
T4AC,15E,2.37
T4AC,16A,2.99
T4AC,16B,2.6
T4AC,16C,1.39
T4AC,16D,1.86
T4AC,16D,6.69
T4AC,16E,3.32
T4AC,17A,1.81
T4AC,17B,1.81
T4AC,17C,2.66
T4AC,17D,5.53
T4AC,17E,2.79
T4AC,18A,3.83
T4AC,18B,1.07
T4AC,18C,3.66
T4AC,18D,3.72
T4AC,18E,2.43
T4AC,19A,1.16
T4AC,19B,0.62
T4AC,19C,1.81
T4AC,19D,1.98
T4AC,19E,0.33
T4AC,1A,1.68
T4AC,1B,0.65
T4AC,1C,0.86
T4AC,1D,1.16
T4AC,1E,1.17
T4AC,20A,0.67
T4AC,20B,2.07
T4AC,20C,1.03
T4AC,20D,2.3
T4AC,20E,0.46
T4AC,2A,4.29
T4AC,2B,3.54
T4AC,2C,3.05
T4AC,2D,3.28
T4AC,2E,1.7
T4AC,3A,2.25
T4AC,3B,3.83
T4AC,3C,6.51
T4AC,3D,3.79
T4AC,3E,5.84
T4AC,4A,9.07
T4AC,4B,10.75
T4AC,4C,7.62
T4AC,4D,5.19
T4AC,4E,3.63
T4AC,5A,3.4
T4AC,5B,9.5
T4AC,5C,0.96
T4AC,5D,2.16
T4AC,5E,6.64
T4AC,6A,5.58
T4AC,6B,6.97
T4AC,6C,9.1
T4AC,6D,8.9
T4AC,6E,4.28
T4AC,7A,9.77
T4AC,7B,4.95
T4AC,7C,8.81
T4AC,7D,5.7
T4AC,7E,10.71
T4AC,8A,4.17
T4AC,8B,12.09
T4AC,8C,4.4
T4AC,8D,9.02
T4AC,8E,7.76
T4AC,9B,9.3
T4AC,9C,4.17
T4AC,9D,3.16
T4AC,9E,16.65
T4EC,10A,30.66
T4EC,10B,30.66
T4EC,10C,12.36
T4EC,10D,9.97
T4EC,10E,24.55
T4EC,11A,13.71
T4EC,11B,27.86
T4EC,11C,15.67
T4EC,11D,16.27
T4EC,11E,11.13
T4EC,12A,12.97
T4EC,12B,16.18
T4EC,12C,11.27
T4EC,12D,15.88
T4EC,12E,10.9
T4EC,13A,13.97
T4EC,13B,15.61
T4EC,13C,12
T4EC,13D,11.69
T4EC,13E,18.92
T4EC,14A,4.44
T4EC,14B,2.51
T4EC,14C,6.67
T4EC,14D,5.61
T4EC,14E,3.37
T4EC,15A,0.72
T4EC,15B,1.99
T4EC,15C,0.55
T4EC,15D,1.64
T4EC,15E,2.02
T4EC,16A,11.51
T4EC,16C,4.92
T4EC,16D,7.21
T4EC,16E,8.5
T4EC,16E,6.14
T4EC,17A,1.54
T4EC,17A,4.36
T4EC,17B,4.24
T4EC,17C,4.84
T4EC,17C,1.37
T4EC,17D,4.71
T4EC,18A,5.47
T4EC,18B,4.03
T4EC,18C,5.82
T4EC,18D,5.01
T4EC,18E,5.7
T4EC,19A,0.68
T4EC,19B,EMPTY
T4EC,19C,2.28
T4EC,19D,1.41
T4EC,19E,1.69
T4EC,1A,2.17
T4EC,1B,0.42
T4EC,1C,2.56
T4EC,1D,1.53
T4EC,1E,2.4
T4EC,20B,1.63
T4EC,20D,1.33
T4EC,20E,4.48
T4EC,27E,8.53
T4EC,2A,4.85
T4EC,2B,6.05
T4EC,2C,15.11
T4EC,2D,3.69
T4EC,2E,4.64
T4EC,3A,5.84
T4EC,3B,3.93
T4EC,3C,3.61
T4EC,3D,8.25
T4EC,3E,2.19
T4EC,4A,11.29
T4EC,4B,7.66
T4EC,4C,12.19
T4EC,4D,16.07
T4EC,4E,11.03
T4EC,5A,8.82
T4EC,5B,6.83
T4EC,5C,6.48
T4EC,5D,6.85
T4EC,5E,6.41
T4EC,6A,8.41
T4EC,6B,7.11
T4EC,6B,8.93
T4EC,6C,9.42
T4EC,6D,11.16
T4EC,7A,15.21
T4EC,7B,16.52
T4EC,7C,5.84
T4EC,7D,14.81
T4EC,7E,13.27
T4EC,8A,5.71
T4EC,8B,19.57
T4EC,8C,10.01
T4EC,8E,11.84
T4EC,9A,23.71
T4EC,9B,28.98
