Year,Biome,T_Treat,CO2,Pot_label,Genotype,Vcmax,Jmax,TPU,RMSE,Tleaf_mean
2022,6,T0,AC,ACT0 - R1,Brandon,92.34696607,220.5391702,14.58720029,5.068877597,25.04626192
2022,6,T0,AC,ACT0 - R2,Brandon,70.75075595,146.0122655,10.02161319,2.196749408,24.88202368
2022,6,T0,AC,ACT0 - R3,Brandon,,,,,
2022,6,T0,AC,ACT0 - R4,Brandon,87.60761891,,10.80484197,10.94023439,25.00204041
2022,6,T0,AC,ACT0 - R5,Brandon,,,,,
2022,6,T0,AC,ACT0-1,Brandon,,,,,
2022,6,T0,AC,ACT0-2,Brandon,,,,,
2022,6,T0,AC,ACT0-3,Brandon,,,,,
2022,6,T0,AC,ACT0-4,Brandon,62.62579896,87.89663836,4.385886545,7.477984672,24.99602835
2022,6,T0,AC,ACT0-5,Brandon,97.26869603,219.8232743,13.95680352,9.391476831,24.99917244
2022,6,T0,AC,ACT0-6,BW1094,,,,,
2022,6,T0,AC,ACT0-7,BW1094,93.07792666,,15.77997334,11.4025031,24.99459995
2022,6,T0,AC,ACT0-8,BW1094,92.77600258,209.2313228,14.08720149,3.087424428,24.90629251
2022,6,T0,AC,ACT0-9,BW1094,,,,,
2022,6,T0,AC,ACT0-10,BW1094,,,,,
2022,6,T0,AC,ACT0-11,PT_4002,91.87063369,,12.9305025,8.912506106,24.99918652
2022,6,T0,AC,ACT0-12,PT_4002,,,,,
2022,6,T0,AC,ACT0-13,PT_4002,128.4399473,195.6187428,NA,4.433854559,29.18808365
2022,6,T0,AC,ACT0-14,PT_4002,,,,,
2022,6,T0,AC,ACT0-15,PT_4002,98.29896577,,12.36673156,27.25479976,25.00158332
2022,6,T0,AC,ACT0-16,AAC_Warman,102.2793086,240.2112562,15.35730352,3.499010068,24.92453384
2022,6,T0,AC,ACT0-17,AAC_Warman,,,,,
2022,6,T0,AC,ACT0-18,AAC_Warman,73.74357221,163.1763554,11.07920549,1.572433636,25.06910392
2022,6,T0,AC,ACT0-19,AAC_Warman,103.5875981,251.5041925,NA,3.347233772,24.97782707
2022,6,T0,AC,ACT0-20,AAC_Warman,86.56385757,180.5494891,NA,6.559167553,25.0307278
2022,6,T0,AC,ACT0-21,AAC_Leroy,142.0091066,310.0902715,16.70490036,2.705486352,24.99504549
2022,6,T0,AC,ACT0-22,AAC_Leroy,103.9770187,235.0937091,14.73139449,3.400506107,24.90452235
2022,6,T0,AC,ACT0-23,AAC_Leroy,,,,,
2022,6,T0,AC,ACT0-24,AAC_Leroy,84.73055627,185.1504363,12.62572506,2.556699315,24.89463645
2022,6,T0,AC,ACT0-25,AAC_Leroy,,,,,
2022,6,T0,AC,ACT0-26,AAC_Prevail,,,,,
2022,6,T0,AC,ACT0-27,AAC_Prevail,85.93208263,180.3928786,12.08403273,2.772708609,24.93647943
2022,6,T0,AC,ACT0-28,AAC_Prevail,94.68843638,213.3628711,14.31025189,1.962104392,24.92399311
2022,6,T0,AC,ACT0-29,AAC_Prevail,89.96983446,190.5519298,12.97280395,5.217584572,24.96006364
2022,6,T0,AC,ACT0-30,AAC_Prevail,,,,,
2022,6,T0,AC,ACT0-31,DT2030,,,,,
2022,6,T0,AC,ACT0-32,DT2030,100.0770138,206.05547,14.01712786,4.645035566,24.99406169
2022,6,T0,AC,ACT0-33,DT2030,186.9866777,356.403836,19.00704031,3.27439314,24.99744104
2022,6,T0,AC,ACT0-34,DT2030,141.322486,315.8585216,16.24554183,9.317702815,24.99463311
2022,6,T0,AC,ACT0-35,DT2030,113.7583824,263.7484035,16.37711555,5.018689054,25.03778349
2022,6,T0,AC,ACT0-36,AAC_Magnet,,,,,
2022,6,T0,AC,ACT0-37,AAC_Magnet,100.4745595,205.5530016,13.27185163,1.634801647,24.89697497
2022,6,T0,AC,ACT0-38,AAC_Magnet,,,,,
2022,6,T0,AC,ACT0-39,AAC_Magnet,,,,,
2022,6,T0,AC,ACT0-40,AAC_Magnet,,,,,
2022,6,T0,AC,ACT0-41,AAC_Hodge,,,,,
2022,6,T0,AC,ACT0-42,AAC_Hodge,79.63314888,168.1573379,10.83675558,2.723622338,25.0494382
2022,6,T0,AC,ACT0-43,AAC_Hodge,115.7450831,205.2994223,13.54154355,10.2839034,24.99927391
2022,6,T0,AC,ACT0-44,AAC_Hodge,114.6254846,241.9925727,NA,10.7481086,24.99492264
2022,6,T0,AC,ACT0-45,AAC_Hodge,,,,,
2022,6,T0,AC,ACT0-46,A1614_KE07,190.5091167,458.1700119,20.3207189,2.50677071,25.00386453
2022,6,T0,AC,ACT0-47,A1614_KE07,,,,,
2022,6,T0,AC,ACT0-48,A1614_KE07,119.1698624,275.1199678,15.60832608,3.59435082,25.06674617
2022,6,T0,AC,ACT0-49,A1614_KE07,,,,,
2022,6,T0,AC,ACT0-50,A1614_KE07,,,,,
2022,6,T0,AC,ACT0-51,Stettler,98.68940533,249.9323052,15.4411647,6.02814084,24.92697957
2022,6,T0,AC,ACT0-52,Stettler,,,,,
2022,6,T0,AC,ACT0-53,Stettler,89.08218658,187.8499402,12.47927885,4.786848076,24.9856808
2022,6,T0,AC,ACT0-54,Stettler,,,,,
2022,6,T0,AC,ACT0-55,Stettler,,,,,
2022,6,T0,AC,ACT0-56,AAC_Goodwin,85.31880748,203.5894421,13.81594679,2.781106421,24.90015834
2022,6,T0,AC,ACT0-57,AAC_Goodwin,,,,,
2022,6,T0,AC,ACT0-58,AAC_Goodwin,69.51029939,197.8108659,NA,15.9326524,24.99859512
2022,6,T0,AC,ACT0-59,AAC_Goodwin,,,,,
2022,6,T0,AC,ACT0-60,AAC_Goodwin,73.41790722,173.2482001,11.58785668,4.467124767,25.00396637
2022,6,T0,AC,ACT0-61,AAC_Concord,,,,,
2022,6,T0,AC,ACT0-62,AAC_Concord,155.8186464,278.731849,17.10922026,0.964976692,24.99738223
2022,6,T0,AC,ACT0-63,AAC_Concord,130.2620387,314.0232733,16.79307393,6.223440524,25.0036538
2022,6,T0,AC,ACT0-64,AAC_Concord,,,,,
2022,6,T0,AC,ACT0-65,AAC_Concord,96.78317965,218.5076544,14.18631466,2.077579683,24.88171305
2022,6,T0,AC,ACT0-66,AAC_Wheatland,105.4646341,246.4643841,14.61435218,8.0660482,24.99802236
2022,6,T0,AC,ACT0-67,AAC_Wheatland,,,,,
2022,6,T0,AC,ACT0-68,AAC_Wheatland,,,,,
2022,6,T0,AC,ACT0-69,AAC_Wheatland,106.6396426,245.904603,15.94835701,2.876541018,24.92558697
2022,6,T0,AC,ACT0-70,AAC_Wheatland,,,,,
2022,6,T0,AC,ACT0-71,DT2016,105.1991333,260.2687091,15.97437602,6.567504706,25.04286869
2022,6,T0,AC,ACT0-72,DT2016,134.8643593,337.272775,18.10064553,7.254248336,24.99960101
2022,6,T0,AC,ACT0-73,DT2016,,,,,
2022,6,T0,AC,ACT0-74,DT2016,,,,,
2022,6,T0,AC,ACT0-75,DT2016,163.0613585,258.9891984,NA,5.355484137,25.00055797
2022,6,T0,AC,ACT0-76,AAC_Grainland,,,,,
2022,6,T0,AC,ACT0-77,AAC_Grainland,119.781746,324.9960182,18.46491539,6.727271433,24.9560065
2022,6,T0,AC,ACT0-78,AAC_Grainland,95.09062944,185.7820624,NA,8.956263158,24.99840362
2022,6,T0,AC,ACT0-79,AAC_Grainland,114.4353966,271.5088651,16.34740516,5.612316916,25.0439905
2022,6,T0,AC,ACT0-80,AAC_Grainland,104.0771861,228.5400354,14.56198779,2.820817514,25.03299809
2022,6,T0,AC,ACT0-81,Transcend,92.77560149,212.1972774,NA,4.921866829,24.88990266
2022,6,T0,AC,ACT0-82,Transcend,,,,,
2022,6,T0,AC,ACT0-83,Transcend,118.8753669,281.6425184,16.729888,4.98275394,24.93546867
2022,6,T0,AC,ACT0-84,Transcend,,,,,
2022,6,T0,AC,ACT0-85,Transcend,,,,,
