Year,Biome,T_Treat,CO2,Pot_label,Replicate,Genotype,Vcmax,Jmax,TPU,RMSE,Tleaf_mean,sub.files[],Notes
2023,6,T0,AC,1A,1,A1614_KE07,81.31526655,158.9468331,NA,2.132235041,24.93176402,453,
2023,6,T0,AC,1B,2,A1614_KE07,93.18884302,213.5941942,13.8209615,2.434172764,24.99657692,465,
2023,6,T0,AC,1C,3,A1614_KE07,85.46401124,170.2591311,NA,2.617102405,24.95076253,454,
2023,6,T0,AC,1D,4,A1614_KE07,119.7195892,220.0940289,14.03457948,2.729769323,25.0027,466,
2023,6,T0,AC,1E,5,A1614_KE07,57.66830732,128.434525,NA,3.778360891,25.02446497,455,
2023,6,T0,AC,2A,1,AAC_Brandon,96.87734178,204.2468531,13.90363639,2.086850852,25.03352811,269,
2023,6,T0,AC,2B,2,AAC_Brandon,90.61662848,195.3055193,13.03014636,2.740843625,24.97191106,270,
2023,6,T0,AC,2C,3,AAC_Brandon,98.84079662,193.1394209,12.21281086,0.867556861,24.9988,279,
2023,6,T0,AC,2D,4,AAC_Brandon,90.42579381,185.3769077,12.27978705,1.605644246,24.98787807,271,
2023,6,T0,AC,2E,5,AAC_Brandon,100.6739068,220.1951422,14.68446662,1.898644478,24.95347434,272,
2023,6,T0,AC,3A,1,AAC_Concord,123.3224857,237.6079212,14.07642042,1.713624506,24.99993077,280,
2023,6,T0,AC,3B,2,AAC_Concord,90.95790267,179.3390877,11.85030899,2.014743344,24.97816775,273,
2023,6,T0,AC,3C,3,AAC_Concord,93.02538455,230.4343091,14.45835719,5.146962616,24.91428798,300,
2023,6,T0,AC,3D,4,AAC_Concord,131.872656,291.2142664,16.04904212,3.065852703,24.99866154,314,
2023,6,T0,AC,3E,5,AAC_Concord,87.85752105,183.1576859,NA,3.161196543,24.92823366,274,
2023,6,T0,AC,4A,1,AAC_Goodwin,112.1003436,238.3391516,15.04012479,2.102207955,25.02384615,296,
2023,6,T0,AC,4B,2,AAC_Goodwin,108.4523257,221.6123079,13.54865921,1.661241715,24.99765385,289,
2023,6,T0,AC,4C,3,AAC_Goodwin,108.0349158,224.1938195,13.52066843,1.95247018,24.99867692,290,
2023,6,T0,AC,4D,4,AAC_Goodwin,124.7971778,272.9705181,15.88698725,2.46375166,25.03307692,297,
2023,6,T0,AC,4E,5,AAC_Goodwin,120.3946936,258.7392292,15.31028988,2.171830963,25.00303846,291,
2023,6,T0,AC,5A,1,AAC_Grainland,90.75218499,178.6121281,11.94816746,2.340679264,24.91136463,429,
2023,6,T0,AC,5B,2,AAC_Grainland,96.74632545,195.2859726,12.73268154,2.23537833,24.94323364,430,
2023,6,T0,AC,5C,3,AAC_Grainland,92.72929172,194.4543003,NA,2.359910638,24.93207946,431,
2023,6,T0,AC,5D,4,AAC_Grainland,89.59142784,183.9826783,12.35842699,2.962478508,24.93283477,432,
2023,6,T0,AC,5E,5,AAC_Grainland,87.14588844,171.9040589,11.57989826,2.323197024,24.97064385,433,
2023,6,T0,AC,6A,1,AAC_Hodge,115.071115,237.9589259,13.80460441,1.951676352,24.99782143,257,
2023,6,T0,AC,6B,2,AAC_Hodge,111.0930131,180.7183831,11.72497629,1.804060157,24.98846154,264,
2023,6,T0,AC,6C,3,AAC_Hodge,116.8528504,222.5028961,13.6215102,1.695356716,24.99703077,258,
